symbol,direction,scenario_id,scenario_name,entry_price,stop_loss,take_profit,issued_at_tehran,status,outcome,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
BNB-USDT,LONG,B1,هایپریون (Hyperion),725.76400000,696.73344000,0.00000000,2026-09-04 08:15:27,CLOSED,EOD_FORCE_CLOSE,2026-09-04 19:33:19,720.58900000,0.200000,-0.913042,10.00,-0.713042,titan_signal
SOL-USDT,LONG,S1,پرومتئوس (Prometheus),103.89000000,99.73440000,0.00000000,2026-09-04 08:15:28,CLOSED,TRAIL_STOP,2026-09-04 09:17:19,104.44800000,0.200000,0.337107,10.00,0.537107,titan_signal
SOL-USDT,LONG,S3,کرونوس (Cronus),103.89000000,99.73440000,0.00000000,2026-09-04 08:15:30,CLOSED,TRAIL_STOP,2026-09-04 09:17:19,104.44800000,0.200000,0.337107,10.00,0.537107,titan_signal
SOL-USDT,LONG,B1,هایپریون (Hyperion),103.89000000,99.73440000,0.00000000,2026-09-04 08:15:31,CLOSED,TRAIL_STOP,2026-09-04 09:17:20,104.44800000,0.200000,0.337107,10.00,0.537107,titan_signal
XRP-USDT,LONG,S1,پرومتئوس (Prometheus),1.45062000,1.39259520,0.00000000,2026-09-04 08:15:34,CLOSED,TRAIL_STOP,2026-09-04 09:17:20,1.45692900,0.200000,0.234917,10.00,0.434917,titan_signal
XRP-USDT,LONG,S3,کرونوس (Cronus),1.45062000,1.39259520,0.00000000,2026-09-04 08:15:35,CLOSED,TRAIL_STOP,2026-09-04 09:17:21,1.45692900,0.200000,0.234917,10.00,0.434917,titan_signal
XRP-USDT,LONG,B1,هایپریون (Hyperion),1.45062000,1.39259520,0.00000000,2026-09-04 08:15:37,CLOSED,TRAIL_STOP,2026-09-04 09:17:21,1.45692900,0.200000,0.234917,10.00,0.434917,titan_signal
LTC-USDT,LONG,S3,کرونوس (Cronus),51.17000000,49.12320000,0.00000000,2026-09-04 08:15:38,CLOSED,TRAIL_STOP,2026-09-04 09:17:22,51.31400000,0.200000,0.081415,10.00,0.281415,titan_signal
LTC-USDT,LONG,B1,هایپریون (Hyperion),51.17000000,49.12320000,0.00000000,2026-09-04 08:15:39,CLOSED,TRAIL_STOP,2026-09-04 09:17:22,51.31400000,0.200000,0.081415,10.00,0.281415,titan_signal
DOGE-USDT,LONG,S3,کرونوس (Cronus),0.08717000,0.08368320,0.00000000,2026-09-04 08:15:41,CLOSED,TRAIL_STOP,2026-09-04 07:16:57,0.08745800,0.200000,0.130389,10.00,0.330389,titan_signal
DOGE-USDT,LONG,B1,هایپریون (Hyperion),0.08717000,0.08368320,0.00000000,2026-09-04 08:15:42,CLOSED,TRAIL_STOP,2026-09-04 07:16:57,0.08745800,0.200000,0.130389,10.00,0.330389,titan_signal
SUI-USDT,LONG,S3,کرونوس (Cronus),0.77290000,0.74198400,0.00000000,2026-09-04 08:15:45,CLOSED,TRAIL_STOP,2026-09-04 05:42:38,0.77515000,0.200000,0.091111,10.00,0.291111,titan_signal
SUI-USDT,LONG,B1,هایپریون (Hyperion),0.77290000,0.74198400,0.00000000,2026-09-04 08:15:46,CLOSED,TRAIL_STOP,2026-09-04 05:42:38,0.77515000,0.200000,0.091111,10.00,0.291111,titan_signal
